id,nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,a0dresse_station,code_insee_commune,code_dep,nbre_pdc,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,horaires,raccordement,date_mise_en_service,cable_t2_attache,consolidated_longitude,consolidated_latitude
781,LE ROUX LOISIRS,453386120,tech@domainedependruc.com,freshmile,gregoire.schaffhauser@freshmile.com,0368781435,reseau A,FR1EKAFD1,5b9d993c-4996-4fba-b010-3c9b58a8f8a4,camping pendruc Tregunc,Parking privé à usage public,camping pendruc 29910 TREGUNC,29293,29,2,7.0,true,true,false,false,false,false,true,true,false,0.40 kw/h,Accès libre,24/7,Indirect,2023-07-01,false,-3.88,47.84
867,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P89882136,89882136,R3 - Vannes - Mr Meuble,Parking privé à usage public,parking Gemo,56260,56,4,22.08,False,True,False,False,False,False,False,False,False,,Accès libre,24/7,Direct,0000-00-00,True,-2.781345,47.664063
868,R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,0321509292,R3,FR3R3P89882136,,R3 - Vannes - Mr Meuble,Parking privé à usage public,"parking Gemo, 56000 Vannes",56260,56,4,22.0,false,true,false,false,false,false,true,true,,"0,36€/kWh",Accès libre,24/7,Direct,2024-10-23,false,-2.781345,47.664063
869,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P89882136,89882136,R3 - Vannes - Mr Meuble,Parking privé à usage public,parking Gemo,56260,56,4,22.08,False,True,False,False,False,False,False,False,False,,Accès libre,24/7,Direct,0000-00-00,True,-2.781345,47.664063
870,R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,0321509292,R3,FR3R3P89882136,,R3 - Vannes - Mr Meuble,Parking privé à usage public,"parking Gemo, 56000 Vannes",56260,56,4,22.0,false,true,false,false,false,false,true,true,,"0,36€/kWh",Accès libre,24/7,Direct,2024-10-23,false,-2.781345,47.664063
1155,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P89882136,89882136,R3 - Vannes - Mr Meuble,Parking privé à usage public,parking Gemo,56260,56,4,150.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Direct,0000-00-00,False,-2.781345,47.664063
1156,R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,0321509292,R3,FR3R3P89882136,,R3 - Vannes - Mr Meuble,Parking privé à usage public,"parking Gemo, 56000 Vannes",56260,56,4,150.0,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,24/7,Direct,2024-10-23,false,-2.781345,47.664063
1157,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P89882136,89882136,R3 - Vannes - Mr Meuble,Parking privé à usage public,parking Gemo,56260,56,4,150.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Direct,0000-00-00,False,-2.781345,47.664063
1158,R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,0321509292,R3,FR3R3P89882136,,R3 - Vannes - Mr Meuble,Parking privé à usage public,"parking Gemo, 56000 Vannes",56260,56,4,150.0,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,24/7,Direct,2024-10-23,false,-2.781345,47.664063
1233,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,180.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,False,-1.689882,47.852074
1234,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,180.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,False,-1.689882,47.852074
1235,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,180.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,False,-1.689882,47.852074
1236,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,180.0,False,False,True,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,False,-1.689882,47.852074
